Content,English,,Español,,
S1 - Landing Page - Title,Get $120 in summer food benefits for your child,Get a one-time payment of $120 in summer food benefits for your child,Obtén un pago único de $120 en beneficios de alimentos de verano para tu hija o hijo.,Obtenga un pago único de $120 para pagar la comida de su estudiante este verano,
S1 - Landing Page - Body,"Each eligible child can receive **one $120 payment** for summer groceries.

Most eligible children get their payment automatically. Some need to submit an application. 

We can tell if you should apply for your child. Tap ""Do I need to apply?"" and enter your child's information.","Each eligible child can receive a *one-time payment of $120*. Families may use the money to pay for groceries during the summer months. 

Some eligible families are automatically enrolled, and some need to submit an application. We can recommend whether you should apply for your child. Tap ""Do I need to apply?"" and enter your child's information.","Cada niño que califique puede recibir un pago de $120 para comprar comida en el verano.

La mayoría de los niños que califican reciben su pago automáticamente. Algunas familias necesitan aplicar.

Podemos decirte si debes aplicar para tu hija o tu hijo. Toca “¿Necesito aplicar?” y escribe la información de tu niña o niño.","Cada estudiante que califica puede recibir un *pago único de $120*. Este dinero se puede usar para comprar alimentos durante los meses de verano. 

Algunas familias elegibles son inscritas automátocamente y otras tienen que aplicar. Podemos recomendarle si necesita aplicar. Toque “¿Necesito aplicar?” e ingrese la información de su hijo/a.  ",
S1 - Landing Page - Action,Apply now,Do I need to apply?,Aplica ahora,¿Necesito aplicar?,
S1 - Landing Page - Action Español,Aplica ahora,¿Necesito aplicar?,Apply now,Do I need to apply?,
S1 - Landing Page - Action Amharic,,ማመልከት አለብኝ,,ማመልከት አለብኝ,
S1 - Landing Page - Action Subtext,Safe and secure,Safe and secure,Seguro y protegido,Seguro y protegido,
S1 - Landing Page - Accordion Title,How do I know if my child can get Summer EBT?,How do I know if my child can get Summer EBT?,¿Cómo sé si mi hijo califica para recibir Summer EBT?,¿Cómo sé si mi hijo califica para recibir Summer EBT?,
S1 - Landing Page - Body 2,Any child could qualify for **one** of these reasons:,Children may be automatically enrolled if we have information to confirm their eligibility. This usually happens for one of the following reasons:,"Cualquier niña o niño puede calificar por **una** de estas razones:
",Es posible que inscribamos automáticamente a tus hijos/as si contamos con información para confirmar su elegibilidad. Esto puede suceder por alguno de los siguientes motivos:,
S1 - Landing Page - Body 3,"They are between ages 6 and 17. And they get SNAP (food stamps), Colorado Works (TANF), or Medicaid
Or they are temporarily unhoused or in foster care
Or they get free or low-cost meals at school, and they are enrolled in a school that participates in the National School Lunch Program (NSLP)","They are between ages 6 and 17. And they get SNAP (food stamps), Colorado Works (TANF), Medicaid, or the Food Distribution Program on Indian Reservations (FDPIR)
Or they are temporarily unhoused or in foster care
Or they get free or low-cost meals at school, and they are enrolled in a school that participates in the National School Lunch Program (NSLP)","Tiene entre 6 y 17 años y recibe SNAP (cupones de alimentos), Colorado Works (TANF) o Medicaid
O, está temporalmente sin hogar o en hogar de acogida (foster care)
O, recibe comidas gratuitas o a bajo costo en la escuela
O, está inscrito/a en una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP)","Tienen entre 6 y 17 años y reciben SNAP (cupones de alimentos), Colorado Works (TANF), Medicaid o el Programa de Distribución de Alimentos en Reservas Indígenas (FDPIR)
O, están temporalmente sin hogar o en hogar de acogida (foster care)
O, reciben comidas gratuitas o a bajo costo en la escuela
O, están inscritos/as en una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP)",
S1 - Landing Page - Body 4,"Children may be automatically enrolled if we have enough information to confirm their eligibility. 

If not, parents or guardians can apply to see if they qualify. Tap [""Apply now""](link) to find out if you should apply for your child.","But, children who are not automatically enrolled may still be able to get the benefit. Parents or guardians should fill out an application to see if they qualify. Tap [""Apply now""](link) to see if you need to apply for your child.","Las niñas y los niños pueden inscribirse automáticamente si tenemos suficiente información para confirmar que califican.

Si no, las madres, padres, cuidadores, o tutores pueden enviar una solicitud para ver si califican. Toca [""Aplica ahora""] (link)  para saber si debes aplicarpara tu hija o hijo.","Sin embargo, si tus hijos/as no quedan inscritos/as automáticamente, aún podrían recibir el beneficio. Llena una solicitud para ver si califican. Toca [""Aplica ahora""] (link) para saber si necesitas aplicar.",
S1 - Disclaimer - Title,What to know before we begin,What to know before we begin,Lo que debes saber antes de comenzar,Lo que debes saber antes de comenzar,
S1 - Disclaimer - Body 1,"First, we'll check if your child is already enrolled.",This is not an application for Summer EBT.,"Primero, verificaremos si tu hija o tu hijo ya está inscrito.",Esto NO es una aplicación para Summer EBT,
S1 - Disclaimer - Body 2,"If they are, you'll be able to confirm where and when your card will be mailed to you. If they aren't, we'll share the application form with you to fill out.",This tool will help you learn if your children are potentially eligible for Summer EBT and if you should apply.,"Si ya lo está, podrás confirmar a dónde y cuándo te enviarán la tarjeta por correo. Si no lo está, te daremos el formulario con la aplicación para que lo llenes.",Esta herramienta te ayudará a saber si tus hijos podrían calificar para Summer EBT y si debes aplicar.,
S1 - Disclaimer - Body 3,The information you provide will be kept private and secure.,The information you provide will be kept private and secure.,La información que nos proporciones se mantendrá privada y segura.,La información que nos proporciones se mantendrá privada y segura.,
