OFF_ADR_L1__c,OFF_ADR_L2__c,OFF_ADR_CTY__c,OFF_ADR_PO_BOX__c,OFF_ADR_STA__c,OFF_ADR_ZIP__c
104 W 11TH ST,,DELTA,,CO,81416-1810
900  JEFFERSON COUNTY PKWY,,GOLDEN,,CO,80401-6001
,,GREELEY,A,CO,80632
,,DEL NORTE,40,CO,81132-0040
1575  SHERMAN ST,,DENVER,,CO,80203-1702
1570  GRANT ST,,DENVER,,CO,80203-1818
1845 S TOWNSEND AVE,,MONTROSE,,CO,81401-5448
320 W 10TH ST,STE 207,PUEBLO,,CO,81003-2920
3155  CHAMBERS RD,,AURORA,,CO,80011-1320
11860  PECOS ST,,WESTMINSTER,,CO,80234-1812
138  6TH ST,,LAS ANIMAS,,CO,81054-1291
,,STERLING,1746,CO,80751-1746
127 E DENVER ST,ST A,HOLYOKE,,CO,80734-1513
,,FORT MORGAN,220,CO,80701-0220
,,FORT MORGAN,220,CO,80701-0220
6974 S LIMA ST,ST 175,CENTENNIAL,,CO,80112-3881
3400  BROADWAY ST,,BOULDER,,CO,80304-1824
,,HOT SULPHUR SPRINGS,204,CO,80451-0204
172  JUSTICE CENTER RD,,CANON CITY,,CO,81212-9354
,,WESTCLIFFE,929,CO,81252-0929
990  BANNOCK ST,,DENVER,,CO,80204-4028
1501  BLUE SPRUCE DR,,FORT COLLINS,,CO,80524-2004
,,FRISCO,869,CO,80443-0869
4400  CASTLETON CT,,CASTLE ROCK,,CO,80109-9473
225 N PINE ST,ST A,GUNNISON,,CO,81230-2648
448 E 1ST ST,ST 166,SALIDA,,CO,81201-2871
,,DEL NORTE,40,CO,81132-0040
1200  FEDERAL BLVD,,DENVER,,CO,80204-3221
4685  PEORIA ST,ST 200,DENVER,,CO,80239-4819
1200  FEDERAL BLVD,,DENVER,,CO,80204-3221
1501  BLUE SPRUCE DR,,FORT COLLINS,,CO,80524-2004
2555  MIDPOINT DR,ST F,FORT COLLINS,,CO,80525-4425
200 W OAK ST,ST 5000,FORT COLLINS,,CO,80521-2713
,,HOT SULPHUR SPRINGS,204,CO,80451-0204
200 E Peridot AVE,CN 1st floor,LOVELAND,,CO,80538-5637
,,LEADVILLE,884,CO,80461-0884
,,EAGLE,660,CO,81631-0660
225 N PINE ST,ST A,GUNNISON,,CO,81230-2648
,,IDAHO SPRINGS,3669,CO,80452-3669
,,JULESBURG,27,CO,80737-0027
195 W 14TH ST,,RIFLE,,CO,81650-0580
,,RIDGWAY,530,CO,81432-0530
,,AVON,3419,CO,81620-3419
195 W 14TH ST,,RIFLE,,CO,81650
,,TELLURIDE,96,CO,81435-0096
,,GRAND JUNCTION,20000-5035,CO,81502-5035
,,STEAMBOAT SPRINGS,772790,CO,80477-2790
1845 S TOWNSEND AVE,,MONTROSE,,CO,81401-5448
,,LAMAR,1157,CO,81052-1157
219 S CHESTNUT ST,,TRINIDAD,,CO,81082-3000
,,WOODLAND PARK,7245,CO,80863-0202
631  MAIN ST,ST 100,ORDWAY,,CO,81063-1046
405 W 9TH ST,,PUEBLO,,CO,81003-2920
,,BURLINGTON,70,CO,80807-0070
,,GREELEY,A,CO,80632
,,EADS,187,CO,81036-0187
,,CHEYENNE WELLS,146,CO,80810-0146
,,KIOWA,924,CO,80117-0924
2960  DORY HILL RD,UN 100,BLACK HAWK,,CO,80422-8771
